Station,Name,State,Latitude,Longitude,MTS Jan,MTS Feb,MTS Mar,MTS Apr,MTS May,MTS Jun,MTS Jul,MTS Aug,MTS Sep,MTS Oct,MTS Nov,MTS Dec,Events Jan,Events Feb,Events Mar,Events Apr,Events May,Events Jun,Events Jul,Events Aug,Events Sep,Events Oct,Events Nov,Events Dec,MinTemp Jan,MinTemp Feb,MinTemp Mar,MinTemp Apr,MinTemp May,MinTemp Jun,MinTemp Jul,MinTemp Aug,MinTemp Sep,MinTemp Oct,MinTemp Nov,MinTemp Dec
USC00392302,DE SMET,SD,44.3867,-97.5606,6.2,7.5,9,3,0,0,0,0,0,1.2,7.5,7,2.5,2.7,2.4,1,0,0,0,0,0,0.4,2.3,2.4,6,11.1,22.1,35,46.5,56.8,62,60.2,50.3,36.8,22.6,9.4
USC00392429,DUPREE                             HCN,SD,45.0469,-101.605,3.9,6.2,8.4,4.5,0.2,0,0,0,0,1,4.3,6.4,2.6,2.3,2.7,1.3,0.1,0,0,0,0,0.5,2.1,2.6,9.2,12.9,21.5,32.2,43.4,52.8,59,57.2,46.8,34.4,21.3,10.5
USC00392446,DUPREE 15 SSE,SD,44.8658,-101.4672,5.7,6.4,7.4,5.9,0.2,0,0,0,0,1.6,5.8,6.6,2.1,2.1,2.4,1.7,0,0,0,0,0,0.6,1.9,2.5,9.1,12.7,22.1,33.6,44.7,54.3,60.8,58.9,47.9,34.9,21.8,11
USC00392557,EDGEMONT,SD,43.3728,-103.8778,4.1,5.4,6.9,3.8,0.6,0,0,0,0.1,1.8,4.8,5.3,1.6,1.9,2.5,1.4,0.2,0,0,0,0.1,0.7,1.5,2.1,9.3,13.2,23.3,32.4,42.9,52.3,59.2,57,45.4,32.5,19.4,8.5
USC00392647,ELM SPRINGS 3 ESE,SD,44.3186,-102.4683,3.6,5.4,7.8,5.3,0.4,0,0,0,0,1.4,4.7,5.4,1.8,1.9,2.4,1.7,0.1,0,0,0,0,0.6,1.8,2,10.5,13.2,21.9,31.8,43.5,53.1,60.1,57.6,46.2,33.6,21.3,11.4
USC00392797,EUREKA                             HCN,SD,45.7644,-99.6353,6.5,7.4,9.2,3.7,0,0,0,0,0,0.8,8.2,7.4,2.7,2.7,2.6,0.9,0,0,0,0,0,0.3,2.5,2.9,3.5,9,19.9,32.2,44.1,53.8,59.1,57.3,46.7,34.1,20.1,7.5
USC00392852,FAITH,SD,45.0203,-102.0367,7.9,7.7,11.3,6.2,0.2,0,0,0,0.1,1.9,6.3,7.8,2.6,2.7,2.8,1.5,0.1,0,0,0,0.1,0.6,2.2,2.5,11,14.7,23.2,33.9,44.3,53.7,60.3,59,48.5,36.6,23.1,12.7
USC00392927,FAULKTON 1 NW                      HCN,SD,45.0364,-99.1342,3.6,7.8,9,4.4,0,0,0,0,0,0.7,5,6.9,2.4,2.4,1.7,0.9,0,0,0,0,0,0.3,1.8,2.7,4.7,9.4,20.4,32.5,44.3,53.9,59.2,57.2,47.3,34.6,20.8,8.3
USC00392984,FLANDREAU,SD,44.0517,-96.5928,4.4,5.2,6.3,3.6,0,0,0,0,0,0.8,5.5,6.9,2.2,2.1,2.1,1,0,0,0,0,0,0.3,1.9,2.4,3.7,8.1,20,32,44.9,55.4,60,57.4,46.4,33.9,21.1,8.1
USC00393029,FORESTBURG 4 NNE                   HCN,SD,44.0686,-98.0833,5.7,4.6,6.2,3.6,0,0,0,0,0,0.5,5.6,5.7,2.3,2.2,2,1,0,0,0,0,0,0.2,2,2.3,6.8,11.5,22.7,34.5,46.5,56.2,61.3,59.1,49.4,36.5,22.8,10.1
